machine_id,slot,price_cents,price_dollars,vends_cash,cash_sales_cents,cash_sales_dollars,vends_cashless,cashless_sales_cents,cashless_sales_dollars,total_vends,total_sales_cents,total_sales_dollars,last_sale_datetime,last_sale_date,last_sale_time
WTN11240170009,010,150,1.5,51,7425,74.25,51,7425,74.25,102,14850,148.5,,20020701,2113
WTN11240170009,011,150,1.5,62,9300,93.0,62,9300,93.0,124,18600,186.0,,20020626,1056
WTN11240170009,012,175,1.75,23,4000,40.0,23,4000,40.0,46,8000,80.0,,20020702,1619
WTN11240170009,013,250,2.5,10,2500,25.0,10,2500,25.0,20,5000,50.0,,20020622,1108
WTN11240170009,014,250,2.5,11,2450,24.5,11,2450,24.5,22,4900,49.0,,20020702,0752
WTN11240170009,015,200,2.0,22,4400,44.0,22,4400,44.0,44,8800,88.0,,20020629,1048
WTN11240170009,016,200,2.0,21,2600,26.0,21,2600,26.0,42,5200,52.0,,20020602,1541
WTN11240170009,017,100,1.0,21,2100,21.0,21,2100,21.0,42,4200,42.0,,20020630,1406
WTN11240170009,018,150,1.5,32,4800,48.0,32,4800,48.0,64,9600,96.0,,20020625,1622
WTN11240170009,019,250,2.5,37,9250,92.5,37,9250,92.5,74,18500,185.0,,20020626,0809
WTN11241500105,010,100,1.0,9,900,9.0,9,900,9.0,18,1800,18.0,,20060304,1337
WTN11241500105,012,150,1.5,1,75,0.75,1,75,0.75,2,150,1.5,,,
WTN11241500105,014,100,1.0,4,400,4.0,4,400,4.0,8,800,8.0,,20060120,1101
WTN11241500105,020,100,1.0,24,2400,24.0,24,2400,24.0,48,4800,48.0,,20060218,1223
WTN11241500105,022,100,1.0,8,775,7.75,8,775,7.75,16,1550,15.5,,20060218,1709
WTN11241500105,024,75,0.75,3,225,2.25,3,225,2.25,6,450,4.5,,20060206,1627
WTN11241500105,030,100,1.0,12,1200,12.0,12,1200,12.0,24,2400,24.0,,20060302,1411
WTN11241500105,032,100,1.0,12,1200,12.0,12,1200,12.0,24,2400,24.0,,20060304,1011
WTN11241500105,033,75,0.75,1,75,0.75,1,75,0.75,2,150,1.5,,,
WTN11241500105,034,100,1.0,5,500,5.0,5,500,5.0,10,1000,10.0,,20060228,1049
WTN11241500105,035,100,1.0,17,1700,17.0,17,1700,17.0,34,3400,34.0,,20060113,1502
WTN11241500105,041,75,0.75,35,2625,26.25,35,2625,26.25,70,5250,52.5,,20060301,0957
WTN11241500105,042,100,1.0,5,500,5.0,5,500,5.0,10,1000,10.0,,20060117,1532
WTN11241500105,043,150,1.5,6,750,7.5,6,750,7.5,12,1500,15.0,,20060227,1205
WTN11241500105,044,75,0.75,2,150,1.5,2,150,1.5,4,300,3.0,,20060211,0843
WTN11241500105,045,150,1.5,7,1050,10.5,7,1050,10.5,14,2100,21.0,,20060304,1337
WTN11241500105,050,75,0.75,42,3150,31.5,42,3150,31.5,84,6300,63.0,,20060304,1723
WTN11241500105,051,150,1.5,7,825,8.25,7,825,8.25,14,1650,16.5,,20060304,1337
WTN11241500105,052,150,1.5,4,550,5.5,4,550,5.5,8,1100,11.0,,20060302,1607
WTN11241500105,054,75,0.75,9,675,6.75,9,675,6.75,18,1350,13.5,,,
WTN11241500105,010,100,1.0,7,700,7.0,7,700,7.0,14,1400,14.0,,20060302,1211
WTN11241500105,012,150,1.5,1,75,0.75,1,75,0.75,2,150,1.5,,,
WTN11241500105,014,100,1.0,4,400,4.0,4,400,4.0,8,800,8.0,,20060120,1101
WTN11241500105,020,100,1.0,24,2400,24.0,24,2400,24.0,48,4800,48.0,,20060218,1223
WTN11241500105,022,100,1.0,8,775,7.75,8,775,7.75,16,1550,15.5,,20060218,1709
WTN11241500105,024,75,0.75,3,225,2.25,3,225,2.25,6,450,4.5,,20060206,1627
WTN11241500105,030,100,1.0,12,1200,12.0,12,1200,12.0,24,2400,24.0,,20060302,1411
WTN11241500105,032,100,1.0,11,1100,11.0,11,1100,11.0,22,2200,22.0,,20060302,1553
WTN11241500105,033,75,0.75,1,75,0.75,1,75,0.75,2,150,1.5,,,
WTN11241500105,034,100,1.0,5,500,5.0,5,500,5.0,10,1000,10.0,,20060228,1049
WTN11241500105,035,100,1.0,17,1700,17.0,17,1700,17.0,34,3400,34.0,,20060113,1502
WTN11241500105,041,75,0.75,35,2625,26.25,35,2625,26.25,70,5250,52.5,,20060301,0957
WTN11241500105,042,100,1.0,5,500,5.0,5,500,5.0,10,1000,10.0,,20060117,1532
WTN11241500105,043,150,1.5,6,750,7.5,6,750,7.5,12,1500,15.0,,20060227,1205
WTN11241500105,044,75,0.75,2,150,1.5,2,150,1.5,4,300,3.0,,20060211,0843
WTN11241500105,045,150,1.5,6,900,9.0,6,900,9.0,12,1800,18.0,,20060302,1607
WTN11241500105,050,75,0.75,39,2925,29.25,39,2925,29.25,78,5850,58.5,,20060225,1253
WTN11241500105,051,150,1.5,6,675,6.75,6,675,6.75,12,1350,13.5,,20060224,1740
WTN11241500105,052,150,1.5,4,550,5.5,4,550,5.5,8,1100,11.0,,20060302,1607
WTN11241500105,054,75,0.75,9,675,6.75,9,675,6.75,18,1350,13.5,,,
